Area (Hectares),N,P,K,pH,Temperature,Rainfall,Humidity,Crop Name,Yield
0.187563671,84,20,28,5.1,10,192,68,Mustard,525.3818
0.159097748,90,12,26,7.9,8,162,59,Mustard,379.3858
0.028981640,90,12,26,7.9,29,217,85,Mustard,364.1422
0.109523948,90,12,26,7.9,9,169,63,Mustard,524.3185
0.183066521,84,20,28,5.1,29,224,57,Mustard,596.8806
0.132291280,90,12,26,7.9,7,195,56,Mustard,593.5573
0.242784748,84,20,28,5.1,18,225,68,Mustard,515.2973
0.179163891,84,20,28,5.1,28,184,87,Mustard,367.3532
0.141765776,90,12,26,7.9,16,243,67,Mustard,519.2081
0.049109955,90,12,26,7.9,13,166,72,Mustard,343.6964
0.012591160,90,12,26,7.9,29,181,81,Mustard,403.1650
0.090500269,90,12,26,7.9,16,218,59,Mustard,387.2857
0.095931502,90,12,26,7.9,24,215,76,Mustard,495.4147
0.081171475,90,12,26,7.9,30,198,82,Mustard,595.9088
0.085600370,90,12,26,7.9,25,161,80,Mustard,461.9237
0.340291021,84,20,28,5.1,9,195,68,Mustard,448.6557
0.060963074,90,12,26,7.9,17,247,77,Mustard,523.8698
0.210061803,84,20,28,5.1,10,221,82,Mustard,612.0944
0.067132456,90,12,26,7.9,23,224,59,Mustard,367.7557
0.100494112,90,12,26,7.9,14,206,86,Mustard,444.9968
0.418638135,84,20,28,5.1,14,205,55,Mustard,351.3092
0.439911011,84,20,28,5.1,30,172,87,Mustard,536.0756
0.055681765,90,12,26,7.9,30,214,66,Mustard,569.4139
0.389571637,84,20,28,5.1,9,245,55,Mustard,351.9479
0.370526139,84,20,28,5.1,17,225,86,Mustard,589.5586
0.041467043,90,12,26,7.9,10,169,67,Mustard,479.2655
0.056006039,90,12,26,7.9,28,199,56,Mustard,550.2137
0.061612833,90,12,26,7.9,22,176,58,Mustard,337.5088
0.212527246,84,20,28,5.1,11,243,87,Mustard,446.7265
0.173512678,84,20,28,5.1,29,199,72,Mustard,509.4994
0.098780030,90,12,26,7.9,23,235,79,Mustard,428.2172
0.128409871,90,12,26,7.9,31,232,65,Mustard,352.4806
0.192599398,84,20,28,5.1,32,240,73,Mustard,435.4602
0.698803020,84,20,28,5.1,18,180,82,Mustard,369.1563
0.248583160,84,20,28,5.1,8,208,73,Mustard,334.3310
0.174132746,84,20,28,5.1,31,153,74,Mustard,620.9503
0.342524254,84,20,28,5.1,15,224,88,Mustard,337.6759
0.101609345,90,12,26,7.9,20,153,66,Mustard,465.2217
0.430091795,84,20,28,5.1,29,164,70,Mustard,336.8781
0.023721648,90,12,26,7.9,24,156,64,Mustard,592.2232
0.204545835,84,20,28,5.1,21,249,78,Mustard,393.2366
0.192044481,84,20,28,5.1,26,228,87,Mustard,530.4331
0.235307907,84,20,28,5.1,12,208,82,Mustard,607.0922
0.201240581,84,20,28,5.1,32,198,79,Mustard,428.0082
0.287506433,84,20,28,5.1,28,187,55,Mustard,416.9273
0.197307409,84,20,28,5.1,14,215,83,Mustard,373.0550
0.093992598,90,12,26,7.9,12,218,87,Mustard,449.8385
0.195256352,84,20,28,5.1,17,156,76,Mustard,433.8688
0.105917265,90,12,26,7.9,21,151,67,Mustard,399.9823
0.165678137,84,20,28,5.1,27,222,60,Mustard,473.1981
0.129583882,90,12,26,7.9,25,245,57,Mustard,575.7969
0.203094513,84,20,28,5.1,17,156,63,Mustard,364.4102
0.007105137,90,12,26,7.9,30,182,72,Mustard,484.4074
0.154204167,90,12,26,7.9,8,162,62,Mustard,318.5746
0.305381127,84,20,28,5.1,13,170,65,Mustard,315.0768
0.410965836,84,20,28,5.1,18,167,75,Mustard,475.0435
0.516506921,84,20,28,5.1,27,222,83,Mustard,332.1008
0.735407715,84,20,28,5.1,26,244,55,Mustard,401.2496
0.263055389,84,20,28,5.1,29,193,62,Mustard,419.7766
0.193913470,84,20,28,5.1,11,153,75,Mustard,619.3381
0.012416716,90,12,26,7.9,12,185,71,Mustard,474.0091
0.272582867,84,20,28,5.1,19,151,80,Mustard,402.3218
0.117482703,90,12,26,7.9,17,171,84,Mustard,567.8694
0.303112181,84,20,28,5.1,22,179,62,Mustard,312.7746
0.314213045,84,20,28,5.1,8,230,62,Mustard,466.2401
0.163069051,84,20,28,5.1,25,192,56,Mustard,486.7343
0.059950497,90,12,26,7.9,11,218,85,Mustard,417.1440
0.309144516,84,20,28,5.1,14,239,87,Mustard,426.8515
0.137515784,90,12,26,7.9,11,220,81,Mustard,537.8008
0.256673565,84,20,28,5.1,19,207,78,Mustard,365.3635
0.011953958,90,12,26,7.9,16,247,75,Mustard,598.7684
0.131172957,90,12,26,7.9,27,234,62,Mustard,450.4183
0.227967985,84,20,28,5.1,32,189,79,Mustard,571.9622
0.068372395,90,12,26,7.9,25,246,63,Mustard,451.9721
0.156337939,90,12,26,7.9,7,179,57,Mustard,318.4724
0.184975957,84,20,28,5.1,15,211,62,Mustard,391.2536
0.087375153,90,12,26,7.9,26,226,60,Mustard,470.4663
0.436423019,84,20,28,5.1,11,170,73,Mustard,413.0289
0.289778395,84,20,28,5.1,24,188,87,Mustard,414.6650
0.267317710,84,20,28,5.1,14,173,73,Mustard,579.3321
0.109532898,90,12,26,7.9,16,244,83,Mustard,559.7081
0.148650858,90,12,26,7.9,11,221,82,Mustard,523.6796
0.253337263,84,20,28,5.1,20,198,77,Mustard,506.2922
0.161946695,90,12,26,7.9,15,214,66,Mustard,530.2074
0.044636772,90,12,26,7.9,24,247,84,Mustard,525.7539
0.107695389,90,12,26,7.9,13,224,79,Mustard,552.7925
0.057323374,90,12,26,7.9,8,215,77,Mustard,417.2299
0.273613491,84,20,28,5.1,14,182,62,Mustard,531.8232
0.020287264,90,12,26,7.9,24,247,67,Mustard,503.5973
0.225098489,84,20,28,5.1,29,226,72,Mustard,329.1015
0.111372573,90,12,26,7.9,12,223,87,Mustard,332.9789
0.135966332,90,12,26,7.9,23,230,75,Mustard,589.0195
0.006110965,90,12,26,7.9,10,238,64,Mustard,459.5917
0.022820237,90,12,26,7.9,22,157,78,Mustard,395.9407
0.176122995,84,20,28,5.1,7,187,66,Mustard,332.1749
0.098727251,90,12,26,7.9,15,206,64,Mustard,439.4107
0.004837604,90,12,26,7.9,12,246,71,Mustard,445.2289
0.119795137,90,12,26,7.9,32,237,61,Mustard,551.0187
0.258335313,84,20,28,5.1,25,230,62,Mustard,354.2125
0.128308092,90,12,26,7.9,31,184,61,Mustard,394.3906
0.107323248,90,12,26,7.9,17,204,86,Mustard,517.8083
0.119087410,90,12,26,7.9,32,169,69,Mustard,400.9434
0.124276739,90,12,26,7.9,11,243,65,Mustard,424.1186
0.156902491,90,12,26,7.9,11,166,78,Mustard,528.5755
0.264898504,84,20,28,5.1,23,223,70,Mustard,328.3869
0.009432515,90,12,26,7.9,10,192,61,Mustard,324.8153
0.424316007,84,20,28,5.1,22,217,79,Mustard,617.5302
0.080417953,90,12,26,7.9,8,225,83,Mustard,469.4099
0.306079218,84,20,28,5.1,23,167,77,Mustard,540.1694
0.186686736,84,20,28,5.1,15,240,83,Mustard,400.4610
0.167951898,84,20,28,5.1,13,196,56,Mustard,380.6107
0.146946968,90,12,26,7.9,14,188,66,Mustard,525.9883
0.237402478,84,20,28,5.1,21,225,64,Mustard,579.5531
0.243745260,84,20,28,5.1,20,164,78,Mustard,571.2609
0.087744697,90,12,26,7.9,22,201,74,Mustard,312.3769
0.138415890,90,12,26,7.9,18,244,69,Mustard,382.0053
0.380661633,84,20,28,5.1,12,175,67,Mustard,459.6489
0.175568587,84,20,28,5.1,17,232,64,Mustard,458.4107
0.305349519,84,20,28,5.1,21,245,65,Mustard,466.0922
0.519204283,84,20,28,5.1,8,165,57,Mustard,530.8214
0.183483858,84,20,28,5.1,13,185,71,Mustard,498.9683
0.000166204,90,12,26,7.9,8,228,72,Mustard,448.8716
0.176949070,84,20,28,5.1,29,229,86,Mustard,563.4327
0.346399320,84,20,28,5.1,13,199,80,Mustard,571.7050
0.292336019,84,20,28,5.1,23,177,88,Mustard,577.3930
0.289295895,84,20,28,5.1,21,160,83,Mustard,516.4545
0.272650683,84,20,28,5.1,25,221,88,Mustard,603.3561
0.225802904,84,20,28,5.1,14,198,55,Mustard,441.9801
0.260170368,84,20,28,5.1,13,187,80,Mustard,561.9982
0.365973873,84,20,28,5.1,13,206,80,Mustard,417.4133
0.036599723,90,12,26,7.9,9,244,72,Mustard,583.7060
0.198026986,84,20,28,5.1,18,186,64,Mustard,456.6000
0.113134505,90,12,26,7.9,23,156,56,Mustard,542.5132
0.169299409,84,20,28,5.1,24,204,80,Mustard,444.4900
0.292998134,84,20,28,5.1,14,155,60,Mustard,361.4905
0.470934115,84,20,28,5.1,9,197,85,Mustard,327.1639
0.405605487,84,20,28,5.1,15,179,78,Mustard,322.8932
0.302808473,84,20,28,5.1,29,208,77,Mustard,376.0736
0.493443266,84,20,28,5.1,17,188,77,Mustard,362.5497
0.197054145,84,20,28,5.1,8,158,59,Mustard,446.3122
0.334466656,84,20,28,5.1,31,243,85,Mustard,514.7858
0.133401883,90,12,26,7.9,17,179,59,Mustard,393.2348
0.154100152,90,12,26,7.9,31,216,56,Mustard,583.4537
0.266299504,84,20,28,5.1,31,250,60,Mustard,450.0313
0.172908906,84,20,28,5.1,13,197,87,Mustard,522.6023
0.053446101,90,12,26,7.9,13,182,68,Mustard,589.0429
0.660891755,84,20,28,5.1,31,239,75,Mustard,523.8172
0.210891854,84,20,28,5.1,20,248,64,Mustard,531.9263
0.016964245,90,12,26,7.9,23,189,59,Mustard,328.3191
0.333301503,84,20,28,5.1,10,178,56,Mustard,608.7854
0.103323635,90,12,26,7.9,16,242,57,Mustard,571.9402
0.145369240,90,12,26,7.9,9,223,65,Mustard,349.6565
0.244334927,84,20,28,5.1,25,189,58,Mustard,465.8756
0.362622157,84,20,28,5.1,28,234,74,Mustard,524.5769
0.107903880,90,12,26,7.9,15,221,59,Mustard,447.5065
0.116193741,90,12,26,7.9,32,216,74,Mustard,352.4758
0.327278987,84,20,28,5.1,28,175,74,Mustard,613.2842
0.513812161,84,20,28,5.1,24,232,72,Mustard,433.0447
0.006939898,90,12,26,7.9,12,202,76,Mustard,486.9053
0.036068693,90,12,26,7.9,31,216,56,Mustard,510.1285
0.033509193,90,12,26,7.9,21,211,59,Mustard,441.2829
0.082701271,90,12,26,7.9,23,189,73,Mustard,501.7983
0.081793223,90,12,26,7.9,26,240,83,Mustard,492.1538
0.112919967,90,12,26,7.9,20,234,69,Mustard,351.6380
0.054559294,90,12,26,7.9,21,239,55,Mustard,564.3522
0.076322248,90,12,26,7.9,21,170,76,Mustard,617.7126
0.019206403,90,12,26,7.9,20,175,84,Mustard,392.2767
0.086324770,90,12,26,7.9,7,192,87,Mustard,316.8553
0.107542014,90,12,26,7.9,31,241,56,Mustard,324.4697
0.061450300,90,12,26,7.9,17,199,70,Mustard,362.5868
0.128819826,90,12,26,7.9,26,187,65,Mustard,494.7495
0.056432745,90,12,26,7.9,30,245,66,Mustard,469.3090
0.045330024,90,12,26,7.9,30,184,69,Mustard,540.4304
0.172496620,84,20,28,5.1,32,230,69,Mustard,384.7478
0.101544970,90,12,26,7.9,12,228,63,Mustard,406.3459
0.205083364,84,20,28,5.1,28,162,79,Mustard,421.0190
0.047033089,90,12,26,7.9,25,234,56,Mustard,534.5678
0.121851747,90,12,26,7.9,21,212,65,Mustard,555.8484
0.282831112,84,20,28,5.1,19,173,61,Mustard,592.4259
1.227007893,90,12,26,7.9,10,161,71,Mustard,572.9462
0.772796348,84,20,28,5.1,9,225,65,Mustard,352.0503
0.519611692,84,20,28,5.1,8,221,76,Mustard,445.6891
0.151873783,90,12,26,7.9,28,220,81,Mustard,325.7746
0.270329580,84,20,28,5.1,21,188,61,Mustard,432.6241
0.556610340,84,20,28,5.1,27,237,58,Mustard,503.9723
0.430838402,84,20,28,5.1,19,224,67,Mustard,393.3357
0.182583012,84,20,28,5.1,29,243,57,Mustard,383.4526
0.573206192,84,20,28,5.1,22,192,65,Mustard,424.4405
0.127366700,90,12,26,7.9,15,235,60,Mustard,455.0856
0.016654519,90,12,26,7.9,13,240,83,Mustard,400.3007
0.221039526,84,20,28,5.1,31,218,72,Mustard,326.9914
0.080622855,90,12,26,7.9,22,167,72,Mustard,369.9776
0.162446080,84,20,28,5.1,28,226,60,Mustard,542.6198
0.026633905,90,12,26,7.9,11,244,80,Mustard,438.0245
0.034791852,90,12,26,7.9,28,177,66,Mustard,511.2633
0.034751794,90,12,26,7.9,28,213,58,Mustard,456.0543
0.088057758,90,12,26,7.9,32,243,66,Mustard,526.3112
0.100141261,90,12,26,7.9,27,162,61,Mustard,440.7102
0.160006623,90,12,26,7.9,7,158,70,Mustard,532.8766
0.177738549,84,20,28,5.1,13,188,83,Mustard,424.1709
0.142262459,90,12,26,7.9,29,228,87,Mustard,446.5533
0.193474601,84,20,28,5.1,7,202,68,Mustard,405.0634
0.081324362,90,12,26,7.9,29,201,88,Mustard,351.7329
0.153556949,90,12,26,7.9,23,192,87,Mustard,464.7601
0.152230055,90,12,26,7.9,26,158,82,Mustard,508.5007
0.057767177,90,12,26,7.9,22,231,61,Mustard,400.8475
0.077176580,90,12,26,7.9,20,198,67,Mustard,540.4537
0.085218819,90,12,26,7.9,16,212,79,Mustard,452.1778
0.207972062,84,20,28,5.1,11,194,59,Mustard,380.0510
0.177608814,84,20,28,5.1,11,163,86,Mustard,548.9606
0.037400142,90,12,26,7.9,12,154,79,Mustard,434.9048
0.174983486,84,20,28,5.1,14,162,74,Mustard,515.0148
0.107095238,90,12,26,7.9,16,182,74,Mustard,450.8205
0.088549595,90,12,26,7.9,29,218,82,Mustard,611.2193
0.321055070,84,20,28,5.1,28,222,66,Mustard,388.7628
0.124403750,90,12,26,7.9,31,234,58,Mustard,458.4504
0.243916063,84,20,28,5.1,11,233,74,Mustard,415.4469
0.238879943,84,20,28,5.1,13,158,79,Mustard,403.0733
0.127033326,90,12,26,7.9,25,199,67,Mustard,524.9301
0.112588702,90,12,26,7.9,19,208,84,Mustard,594.2429
0.037489359,90,12,26,7.9,14,207,79,Mustard,538.1222
0.032631424,90,12,26,7.9,22,245,79,Mustard,313.5352
0.114656881,90,12,26,7.9,20,165,64,Mustard,565.5747
0.348729260,84,20,28,5.1,8,212,82,Mustard,583.9987
0.344407903,84,20,28,5.1,27,242,64,Mustard,423.6872
0.098028804,90,12,26,7.9,18,220,71,Mustard,452.6665
0.066914002,90,12,26,7.9,9,193,66,Mustard,510.3115
0.047663590,90,12,26,7.9,32,240,63,Mustard,470.7714
0.181285055,84,20,28,5.1,21,210,60,Mustard,421.8906
0.095075574,90,12,26,7.9,23,177,77,Mustard,400.8095
0.058594586,90,12,26,7.9,21,196,88,Mustard,496.3010
0.011894682,90,12,26,7.9,26,192,61,Mustard,337.2607
0.014522524,90,12,26,7.9,24,219,78,Mustard,412.0291
0.048666610,90,12,26,7.9,26,194,81,Mustard,349.5705
0.377181563,84,20,28,5.1,20,242,66,Mustard,550.5737
0.062801654,90,12,26,7.9,15,205,77,Mustard,342.3642
0.057582161,90,12,26,7.9,19,207,84,Mustard,547.6766
0.144727901,90,12,26,7.9,10,154,86,Mustard,584.7440
0.171089679,84,20,28,5.1,15,206,65,Mustard,384.4417
0.119971153,90,12,26,7.9,13,202,86,Mustard,580.8822
0.176693629,84,20,28,5.1,30,154,69,Mustard,589.3262
0.111117924,90,12,26,7.9,8,221,87,Mustard,329.7011
0.147547478,90,12,26,7.9,17,240,63,Mustard,395.7562
0.248464313,84,20,28,5.1,9,231,68,Mustard,571.6384
0.042470504,90,12,26,7.9,9,178,56,Mustard,357.3521
0.180892253,84,20,28,5.1,17,219,87,Mustard,529.4660
0.039674760,90,12,26,7.9,22,166,81,Mustard,320.1115
0.144006274,90,12,26,7.9,30,221,57,Mustard,341.2101
0.156837515,90,12,26,7.9,18,214,63,Mustard,351.0098
0.093536461,90,12,26,7.9,16,229,68,Mustard,411.6929
0.175797536,84,20,28,5.1,25,215,61,Mustard,413.1001
0.475216830,84,20,28,5.1,17,208,71,Mustard,573.5940
0.036886921,90,12,26,7.9,19,211,58,Mustard,608.1555
0.185141623,84,20,28,5.1,20,166,60,Mustard,357.1430
0.369218006,84,20,28,5.1,24,182,84,Mustard,551.8157
0.296255315,84,20,28,5.1,30,203,80,Mustard,399.3070
0.129741806,90,12,26,7.9,32,215,80,Mustard,536.3986
0.281513530,84,20,28,5.1,23,188,81,Mustard,336.6678
0.215294374,84,20,28,5.1,28,167,80,Mustard,583.5957
0.180053101,84,20,28,5.1,13,207,65,Mustard,330.2693
0.020614022,90,12,26,7.9,18,212,80,Mustard,409.2050
0.027942777,90,12,26,7.9,17,186,82,Mustard,619.1122
0.434180425,84,20,28,5.1,31,181,57,Mustard,585.8618
0.108101731,90,12,26,7.9,14,240,80,Mustard,362.5441
0.154375471,90,12,26,7.9,26,204,69,Mustard,601.7657
0.677496998,84,20,28,5.1,32,221,74,Mustard,333.8174
0.031134891,90,12,26,7.9,26,216,71,Mustard,363.5608
0.124140840,90,12,26,7.9,31,210,73,Mustard,377.6017
0.094912046,90,12,26,7.9,11,185,61,Mustard,408.2359
0.122149806,90,12,26,7.9,18,154,74,Mustard,411.6670
0.145673933,90,12,26,7.9,27,168,62,Mustard,437.9437
0.020031803,90,12,26,7.9,24,173,62,Mustard,373.9151
0.101156506,90,12,26,7.9,30,224,76,Mustard,494.8013
0.153967531,90,12,26,7.9,31,195,82,Mustard,516.2812
